10/09/2015	56.9	59.96	56.5099	57.17	2,519,997
10/08/2015	61.11	61.22	55.0135	56.16	4,067,923
10/07/2015	61.95	62.67	59.69	61.81	1,900,492
10/06/2015	60.3	62.72	60.16	61.69	1,931,241
10/05/2015	59.25	61.83	58.76	60.26	2,155,761
10/02/2015	56.92	58.95	56.08	58.92	1,593,979
10/01/2015	57.7	58.1	56.06	57.93	1,318,169
09/30/2015	56.95	58.35	56.41	57.79	2,184,976
09/29/2015	54.8	58.06	53.76	55.63	2,771,846
09/28/2015	57.66	58.42	54.67	55.04	3,592,695
09/25/2015	64.8	65.4	58.23	58.36	3,893,478
09/24/2015	61.62	64.07	60.15	63.9	3,745,231
09/23/2015	66.92	67.99	62.25	62.59	2,988,119
09/22/2015	65		68.43	64.0601	66.8	3,756,575
09/21/2015	70.1	70.5	65.81	66.94	3,945,412
09/18/2015	72.76	72.76	69.81	71.46	3,079,606
09/17/2015	70.23	75.53	70.17	73.68	4,698,692
09/16/2015	71.67	72.94	68.85	70.82	4,629,186
09/15/2015	67.88	71.98	66.84	71.36	4,350,757
09/14/2015	64.8	69.7	64.76	66.83	4,407,285
09/11/2015	68.88	70	63.55	64.41	5,412,868
09/10/2015	69.01	71.6299	68.05	70.19	2,527,075
09/09/2015	73.74	74.21	67.86	68.47	3,025,675
09/08/2015	74.54	75.47	71.11	72.87	3,127,391
09/04/2015	70.2	74.9	69.013	73.24	4,686,324
09/03/2015	80.11	80.42	73.06	73.15	4,859,833
09/02/2015	82.6	83.25	75.01	81.98	10,762,520
09/01/2015	90.78	93.48	88.17	89.61	5,519,347
08/31/2015	96.99	99.349	93.65	95.63	3,607,028
08/28/2015	89.95	96.88	89.75	96.31	3,233,246
08/27/2015	93.41	94.4	89.25	90.82	3,324,594
08/26/2015	89.5	90.97	83.81	89.46	2,874,639
08/25/2015	94.9	95	86.5001	87	2,910,626
08/24/2015	75	94	71	87.58	5,414,963
08/21/2015	93	93	86.28	89.76	8,350,565
08/20/2015	102.02	103.999	96.66	97.04	3,091,711
08/19/2015	103.81	106.1299	100.63	104.64	2,025,928
08/18/2015	107.66	108.97	104.95	105.32	1,497,753
08/17/2015	107.66	109.71	106.53	108.72	1,287,093
08/14/2015	109.51	110.747	107.0701	108.62	1,442,179
08/13/2015	111.5	111.7	108.17	109.16	1,725,001
08/12/2015	110	112.3	104.26	110.05	3,849,640
08/11/2015	117.27	118.8	110.5	112.94	2,900,120
08/10/2015	116.25	119.99	114.5	118.21	2,720,114
08/07/2015	113.83	114.99	111.2903	114.98	1,760,246
08/06/2015	114.46	115.9699	110.51	113.28	1,695,141
08/05/2015	115.89	116.73	114.05	115.05	1,798,030
08/04/2015	112.3	115.1999	110.17	114.65	2,339,569
08/03/2015	116	117.7	112.45	113.1	2,667,944
07/31/2015	116.63	119.64	114.84	115.87	2,890,123
07/30/2015	117.01	117.23	114.5	115.8	2,559,152
07/29/2015	119.96	120.46	115.5	117.72	3,505,489
07/28/2015	122	123.57	117.11	119.26	3,895,158
07/27/2015	120	122.39	114.17	119.45	4,366,267
07/24/2015	126.23	128.5	123.01	124.23	4,080,949
07/23/2015	124.72	129.19	122.22	122.99	5,368,195
07/22/2015	118.64	123.99	115.2501	122.5	4,105,979
07/21/2015	119.24	119.86	115.1	118.18	3,276,476
07/20/2015	112.5	119.8	112.35	117.72	4,093,262
07/17/2015	108.38	111.2	107.52	111.12	2,080,948
07/16/2015	108.11	109.3	106.22	108.17	1,927,397
07/15/2015	108.9	111.4999	105.06	106.21	5,494,221
07/14/2015	101	107.4935	99.685	107.48	3,862,419
07/13/2015	100.49	101	97.82	99.15	1,977,582
07/10/2015	98.39	99.73	97.02	99.61	1,737,934
07/09/2015	99.46	99.9	96.66	96.75	2,136,428
